start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,start_time_dt,rat_period_start_dt,rat_period_end_dt,sunset_time_dt,seconds_after_rat_arrival_cat
30/12/2017 18:37,16.0,rat,30/12/2017 18:35,30/12/2017 18:38,108,1,0,0,30/12/2017 16:45,1.870833333,0,2017-12-30 18:37:00,2017-12-30 18:35:00,2017-12-30 18:38:00,2017-12-30 16:45:00,1-5min
30/12/2017 19:51,0.074015603,fast,30/12/2017 19:50,30/12/2017 19:55,17,0,1,0,30/12/2017 16:45,3.100833333,0,2017-12-30 19:51:00,2017-12-30 19:50:00,2017-12-30 19:55:00,2017-12-30 16:45:00,10-60s
30/12/2017 19:51,4.0,fast,30/12/2017 19:50,30/12/2017 19:55,41,0,1,0,30/12/2017 16:45,3.1075,0,2017-12-30 19:51:00,2017-12-30 19:50:00,2017-12-30 19:55:00,2017-12-30 16:45:00,10-60s
30/12/2017 19:52,10.0,rat,30/12/2017 19:50,30/12/2017 19:55,111,1,0,0,30/12/2017 16:45,3.126944444,0,2017-12-30 19:52:00,2017-12-30 19:50:00,2017-12-30 19:55:00,2017-12-30 16:45:00,1-5min
30/12/2017 19:54,15.0,rat,30/12/2017 19:50,30/12/2017 19:55,194,1,0,0,30/12/2017 16:45,3.15,0,2017-12-30 19:54:00,2017-12-30 19:50:00,2017-12-30 19:55:00,2017-12-30 16:45:00,1-5min
30/12/2017 19:54,24.0,rat,30/12/2017 19:50,30/12/2017 19:55,215,1,0,0,30/12/2017 16:45,3.155833333,0,2017-12-30 19:54:00,2017-12-30 19:50:00,2017-12-30 19:55:00,2017-12-30 16:45:00,1-5min
30/12/2017 19:54,13.0,rat,30/12/2017 19:50,30/12/2017 19:55,253,1,0,0,30/12/2017 16:45,3.166388889,0,2017-12-30 19:54:00,2017-12-30 19:50:00,2017-12-30 19:55:00,2017-12-30 16:45:00,1-5min
26/12/2017 21:24,15.0,rat,26/12/2017 21:22,26/12/2017 21:27,88,1,0,0,26/12/2017 16:43,4.684444444,0,2017-12-26 21:24:00,2017-12-26 21:22:00,2017-12-26 21:27:00,2017-12-26 16:43:00,1-5min
26/12/2017 21:24,6.0,pick,26/12/2017 21:22,26/12/2017 21:27,113,0,1,0,26/12/2017 16:43,4.691388889,0,2017-12-26 21:24:00,2017-12-26 21:22:00,2017-12-26 21:27:00,2017-12-26 16:43:00,1-5min
26/12/2017 21:24,3.0,fast,26/12/2017 21:22,26/12/2017 21:27,121,0,1,0,26/12/2017 16:43,4.693611111,0,2017-12-26 21:24:00,2017-12-26 21:22:00,2017-12-26 21:27:00,2017-12-26 16:43:00,1-5min
26/12/2017 21:24,5.0,pick,26/12/2017 21:22,26/12/2017 21:27,128,0,1,0,26/12/2017 16:43,4.695555556,0,2017-12-26 21:24:00,2017-12-26 21:22:00,2017-12-26 21:27:00,2017-12-26 16:43:00,1-5min
26/12/2017 21:25,6.0,pick,26/12/2017 21:22,26/12/2017 21:27,153,0,1,0,26/12/2017 16:43,4.7025,0,2017-12-26 21:25:00,2017-12-26 21:22:00,2017-12-26 21:27:00,2017-12-26 16:43:00,1-5min
26/12/2017 21:26,10.0,rat,26/12/2017 21:22,26/12/2017 21:27,208,1,0,0,26/12/2017 16:43,4.717777778,0,2017-12-26 21:26:00,2017-12-26 21:22:00,2017-12-26 21:27:00,2017-12-26 16:43:00,1-5min
26/12/2017 21:26,1.0,bat_fight,26/12/2017 21:22,26/12/2017 21:27,216,1,0,0,26/12/2017 16:43,4.72,0,2017-12-26 21:26:00,2017-12-26 21:22:00,2017-12-26 21:27:00,2017-12-26 16:43:00,1-5min
27/12/2017 1:35,2.0,rat_and_no_food,27/12/2017 1:34,27/12/2017 1:41,37,1,0,0,26/12/2017 16:43,8.8725,0,2017-12-27 01:35:00,2017-12-27 01:34:00,2017-12-27 01:41:00,2017-12-26 16:43:00,10-60s
26/12/2017 20:57,5.0,,26/12/2017 20:53,26/12/2017 20:58,199,0,0,0,26/12/2017 16:43,4.2375,0,2017-12-26 20:57:00,2017-12-26 20:53:00,2017-12-26 20:58:00,2017-12-26 16:43:00,1-5min
26/12/2017 20:57,1.0,,26/12/2017 20:53,26/12/2017 20:58,239,0,0,0,26/12/2017 16:43,4.248611111,0,2017-12-26 20:57:00,2017-12-26 20:53:00,2017-12-26 20:58:00,2017-12-26 16:43:00,1-5min
28/12/2017 19:36,1.0,fast,28/12/2017 19:35,28/12/2017 19:46,14,0,1,0,28/12/2017 16:44,2.868888889,0,2017-12-28 19:36:00,2017-12-28 19:35:00,2017-12-28 19:46:00,2017-12-28 16:44:00,10-60s
28/12/2017 19:36,2.0,rat,28/12/2017 19:35,28/12/2017 19:46,40,1,0,0,28/12/2017 16:44,2.876111111,0,2017-12-28 19:36:00,2017-12-28 19:35:00,2017-12-28 19:46:00,2017-12-28 16:44:00,10-60s
28/12/2017 19:37,26.0,rat,28/12/2017 19:35,28/12/2017 19:46,68,1,0,0,28/12/2017 16:44,2.883888889,0,2017-12-28 19:37:00,2017-12-28 19:35:00,2017-12-28 19:46:00,2017-12-28 16:44:00,1-5min
