,start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,start_time_dt,rat_period_start_dt,rat_period_end_dt,sunset_time_dt,seconds_after_rat_arrival_cat
count,907,907.0,866,907,907,907.0,907.0,907.0,907.0,907,907.0,907.0,907,907,907,907,907
unique,628,,81,268,268,,,,,65,,,,,,,5
top,21/04/2018 2:17,,fast,26/04/2018 22:25,26/04/2018 22:36,,,,,26/04/2018 19:17,,,,,,,1-5min
freq,6,,245,29,29,,,,,101,,,,,,,424
mean,,11.713133940775084,,,,282.877618522602,0.49503858875413453,0.5336273428886439,3.8004410143329657,,5.531862979273429,0.8335170893054025,2018-04-11 20:41:27.056229120,2018-04-11 20:36:43.395810304,2018-04-11 20:45:54.178610944,2018-04-11 15:10:02.050716672,
min,,0.010238211,,,,0.0,0.0,0.0,0.0,,-0.261666667,0.0,2017-12-26 20:57:00,2017-12-26 20:53:00,2017-12-26 20:58:00,2017-12-26 16:43:00,
25%,,1.0,,,,89.5,0.0,0.0,4.0,,3.7790277775,1.0,2018-04-03 23:29:00,2018-04-03 23:24:00,2018-04-03 23:40:00,2018-04-03 19:01:00,
50%,,4.0,,,,206.0,0.0,1.0,4.0,,5.622777778,1.0,2018-04-27 00:28:00,2018-04-27 00:24:00,2018-04-27 00:28:00,2018-04-26 19:17:00,
75%,,11.5,,,,446.5,1.0,1.0,5.0,,7.4027777775,1.0,2018-05-01 00:07:30,2018-05-01 00:06:00,2018-05-01 00:09:00,2018-04-30 19:20:00,
max,,443.0,,,,949.0,1.0,1.0,5.0,,12.09194444,1.0,2018-05-31 23:34:00,2018-05-31 23:31:00,2018-05-31 23:34:00,2018-05-31 19:41:00,
std,,27.644409680199587,,,,240.97491789563486,0.5002512323010876,0.4991431576997453,1.1991902269594983,,2.414146393146927,0.37271908306958706,,,,,
