,count,mean,min,25%,50%,75%,max,std
start_time,907,2018-04-11 20:41:27.056229120,2017-12-26 20:57:00,2018-04-03 23:29:00,2018-04-27 00:28:00,2018-05-01 00:07:30,2018-05-31 23:34:00,
bat_landing_to_food,907.0,11.713133940775084,0.010238211,1.0,4.0,11.5,443.0,27.644409680199587
rat_period_start,907,2018-04-11 20:36:43.395810304,2017-12-26 20:53:00,2018-04-03 23:24:00,2018-04-27 00:24:00,2018-05-01 00:06:00,2018-05-31 23:31:00,
rat_period_end,907,2018-04-11 20:45:54.178610944,2017-12-26 20:58:00,2018-04-03 23:40:00,2018-04-27 00:28:00,2018-05-01 00:09:00,2018-05-31 23:34:00,
seconds_after_rat_arrival,907.0,282.877618522602,0.0,89.5,206.0,446.5,949.0,240.97491789563486
risk,907.0,0.49503858875413453,0.0,0.0,0.0,1.0,1.0,0.5002512323010876
reward,907.0,0.5336273428886439,0.0,0.0,1.0,1.0,1.0,0.4991431576997453
month,907.0,3.8004410143329657,0.0,4.0,4.0,5.0,5.0,1.1991902269594983
hours_after_sunset,907.0,5.531862979273429,-0.261666667,3.7790277775,5.622777778,7.4027777775,12.09194444,2.414146393146927
season,907.0,0.8335170893054025,0.0,1.0,1.0,1.0,1.0,0.37271908306958706
rat_present,907.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
period_30min,907,2018-04-11 20:26:59.404630528,2017-12-26 20:30:00,2018-04-03 23:00:00,2018-04-27 00:00:00,2018-05-01 00:00:00,2018-05-31 23:30:00,
